,exp,data type,label,time,data
214,UMSTBG1d,behavior,whisk,21.4,3.243016481
215,UMSTBG1d,behavior,whisk,21.5,0.621656954
216,UMSTBG1d,behavior,whisk,21.6,1.93082726
217,UMSTBG1d,behavior,whisk,21.7,1.779669762
218,UMSTBG1d,behavior,whisk,21.8,2.399166107
219,UMSTBG1d,behavior,whisk,21.9,0.587419689
220,UMSTBG1d,behavior,whisk,22,2.046695471
221,UMSTBG1d,behavior,whisk,22.1,1.219334841
222,UMSTBG1d,behavior,whisk,22.2,2.438933611
223,UMSTBG1d,behavior,whisk,22.3,3.061192513
224,UMSTBG1d,behavior,whisk,22.4,2.621495247
225,UMSTBG1d,behavior,whisk,22.5,2.989563942
226,UMSTBG1d,behavior,whisk,22.6,1.680130124
227,UMSTBG1d,behavior,whisk,22.7,1.512553573
228,UMSTBG1d,behavior,whisk,22.8,1.544820428
229,UMSTBG1d,behavior,whisk,22.9,3.111241579
230,UMSTBG1d,behavior,whisk,23,2.096277237
231,UMSTBG1d,behavior,whisk,23.1,1.38972795
232,UMSTBG1d,behavior,whisk,23.2,1.481681228
233,UMSTBG1d,behavior,whisk,23.3,1.292022347
234,UMSTBG1d,behavior,whisk,23.4,1.897898078
235,UMSTBG1d,behavior,whisk,23.5,1.37299788
236,UMSTBG1d,behavior,whisk,23.6,1.53773725
237,UMSTBG1d,behavior,whisk,23.7,1.502657294
238,UMSTBG1d,behavior,whisk,23.8,1.285639286
239,UMSTBG1d,behavior,whisk,23.9,0.828420818
240,UMSTBG1d,behavior,whisk,24,0.564567089
241,UMSTBG1d,behavior,whisk,24.1,1.682669282
242,UMSTBG1d,behavior,whisk,24.2,1.500288367
243,UMSTBG1d,behavior,whisk,24.3,0.96240443
244,UMSTBG1d,behavior,whisk,24.4,1.229617715
245,UMSTBG1d,behavior,whisk,24.5,0.615330279
246,UMSTBG1d,behavior,whisk,24.6,0.683018982
247,UMSTBG1d,behavior,whisk,24.7,1.389003396
248,UMSTBG1d,behavior,whisk,24.8,1.47181797
249,UMSTBG1d,behavior,whisk,24.9,0.610529244
250,UMSTBG1d,behavior,whisk,25,1.304209828
251,UMSTBG1d,behavior,whisk,25.1,1.551743865
252,UMSTBG1d,behavior,whisk,25.2,0.967780888
253,UMSTBG1d,behavior,whisk,25.3,3.01559186
254,UMSTBG1d,behavior,whisk,25.4,2.340773344
255,UMSTBG1d,behavior,whisk,25.5,2.696137667
256,UMSTBG1d,behavior,whisk,25.6,2.168177366
257,UMSTBG1d,behavior,whisk,25.7,1.463294983
258,UMSTBG1d,behavior,whisk,25.8,1.17368114
259,UMSTBG1d,behavior,whisk,25.9,1.382613301
260,UMSTBG1d,behavior,whisk,26,0.945975065
261,UMSTBG1d,behavior,whisk,26.1,1.346366405
262,UMSTBG1d,behavior,whisk,26.2,1.700202942
263,UMSTBG1d,behavior,whisk,26.3,1.997152328
264,UMSTBG1d,behavior,whisk,26.4,3.040980101
265,UMSTBG1d,behavior,whisk,26.5,1.624494076
