,exp,data type,label,time,data
213,UMSTBG,behavior,whisk,21.3,0.049655806
214,UMSTBG,behavior,whisk,21.4,0.025378266
215,UMSTBG,behavior,whisk,21.5,0.038326193
216,UMSTBG,behavior,whisk,21.6,0.032999132
217,UMSTBG,behavior,whisk,21.7,0.034597423
218,UMSTBG,behavior,whisk,21.8,0.031758565
219,UMSTBG,behavior,whisk,21.9,0.124632694
220,UMSTBG,behavior,whisk,22,0.046736363
221,UMSTBG,behavior,whisk,22.1,0.065545954
222,UMSTBG,behavior,whisk,22.2,0.067237385
223,UMSTBG,behavior,whisk,22.3,0.067435496
224,UMSTBG,behavior,whisk,22.4,0.030965477
225,UMSTBG,behavior,whisk,22.5,0.018785821
226,UMSTBG,behavior,whisk,22.6,0.048459623
227,UMSTBG,behavior,whisk,22.7,0.048216015
228,UMSTBG,behavior,whisk,22.8,0.042046066
229,UMSTBG,behavior,whisk,22.9,0.075497814
230,UMSTBG,behavior,whisk,23,0.042785373
231,UMSTBG,behavior,whisk,23.1,0.039833371
232,UMSTBG,behavior,whisk,23.2,0.02787487
233,UMSTBG,behavior,whisk,23.3,0.028868087
234,UMSTBG,behavior,whisk,23.4,0.038155269
235,UMSTBG,behavior,whisk,23.5,0.049260627
236,UMSTBG,behavior,whisk,23.6,0.031936605
237,UMSTBG,behavior,whisk,23.7,0.040604714
238,UMSTBG,behavior,whisk,23.8,0.045643181
239,UMSTBG,behavior,whisk,23.9,0.091488995
240,UMSTBG,behavior,whisk,24,0.07300327
241,UMSTBG,behavior,whisk,24.1,0.051991601
242,UMSTBG,behavior,whisk,24.2,0.047796298
243,UMSTBG,behavior,whisk,24.3,0.059126925
244,UMSTBG,behavior,whisk,24.4,0.049395483
245,UMSTBG,behavior,whisk,24.5,0.059889432
246,UMSTBG,behavior,whisk,24.6,0.034033507
247,UMSTBG,behavior,whisk,24.7,0.028240422
248,UMSTBG,behavior,whisk,24.8,0.051271465
249,UMSTBG,behavior,whisk,24.9,0.101881601
250,UMSTBG,behavior,whisk,25,0.028176902
